Product Name,Price,Rating
Lightweight Probiotics,$ 155.62,4
Wireless LED Desk Lamp,$ 145.40,4.6
Deluxe Tea Collection,$ 185.01,3.5
Essential Tire Gauge,$ 70.86,3.6
Smart Carving Tools,$ 97.13,3.5
Professional Dog Food,$ 145.40,4.6
Smart Car Wash Kit,$ 139.94,3
Premium Bluetooth Speaker,$ 108.99,4.5
Vintage Tablet Stand,$ 44.15,3.4
Portable Marker Pack,$ 193.91,4.2
Professional Brush Kit,$ 55.29,3.6
Smart Play Dough,$ 123.50,3.5
Premium Vinyl Record,$ 69.22,4.5
Professional Aquarium Plant,$ 71.68,4.6
Vintage Stuffed Animal,$ 124.84,5
Eco-Friendly Protein Bar,$ 76.27,3.9
Lightweight Paper Clips,$ 156.17,4.3
Professional Guitar Strings,$ 159.77,4.1
Premium Business Book,$ 175.14,4.9
Handcrafted Locket,$ 106.84,4.2
Compact Heating Pad,$ 70.83,4.8
Advanced Brake Pad,$ 108.45,4.3
Heavy-Duty Seat Cover,$ 30.36,4.2
Heavy-Duty Palette,$ 179.54,3.7
N/A,$ 155.62,N/A
N/A,$ 145.40,N/A
N/A,$ 185.01,N/A
N/A,$ 70.86,N/A
N/A,$ 97.13,N/A
N/A,$ 139.94,N/A
N/A,$ 108.99,N/A
N/A,$ 44.15,N/A
N/A,$ 193.91,N/A
N/A,$ 55.29,N/A
N/A,$ 123.50,N/A
N/A,$ 69.22,N/A
N/A,$ 71.68,N/A
N/A,$ 124.84,N/A
N/A,$ 76.27,N/A
N/A,$ 156.17,N/A
N/A,$ 159.77,N/A
N/A,$ 175.14,N/A
N/A,$ 106.84,N/A
N/A,$ 70.83,N/A
N/A,$ 108.45,N/A
N/A,$ 30.36,N/A
N/A,$ 179.54,N/A
